id,title,description,price,category,discount_percentage,rating,stock,brand,sku,weight,width,height,depth,warranty_information,shipping_information,availability_status,return_policy,minimum_order_quantity,thumbnail,barcode,qr_code,created_at,updated_at,tags
1,Essence Mascara Lash Princess,The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.,9.99,beauty,10.48,2.56,99,Essence,BEA-ESS-ESS-001,4.00,15.14,13.08,22.99,1 week warranty,Ships in 3-5 business days,In Stock,No return policy,48,https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/thumbnail.webp,5784719087687,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:48.844171,2025-04-30 14:42:48.844171,beauty;mascara
2,Eyeshadow Palette with Mirror,"The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application.",19.99,beauty,18.19,2.86,34,Glamour Beauty,BEA-GLA-EYE-002,9.00,9.26,22.47,27.67,1 year warranty,Ships in 2 weeks,In Stock,7 days return policy,20,https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/thumbnail.webp,9170275171413,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:49.213968,2025-04-30 14:42:49.213968,beauty;eyeshadow
3,Powder Canister,"The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish.",14.99,beauty,9.84,4.64,89,Velvet Touch,BEA-VEL-POW-003,8.00,29.27,27.93,20.59,3 months warranty,Ships in 1-2 business days,In Stock,No return policy,22,https://cdn.dummyjson.com/product-images/beauty/powder-canister/thumbnail.webp,8418883906837,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:49.507064,2025-04-30 14:42:49.507064,beauty;face powder
4,Red Lipstick,"The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.",12.99,beauty,12.16,4.36,91,Chic Cosmetics,BEA-CHI-LIP-004,1.00,18.11,28.38,22.17,3 year warranty,Ships in 1 week,In Stock,7 days return policy,40,https://cdn.dummyjson.com/product-images/beauty/red-lipstick/thumbnail.webp,9467746727219,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:49.828214,2025-04-30 14:42:49.828214,beauty;lipstick
5,Red Nail Polish,"The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home.",8.99,beauty,11.44,4.32,79,Nail Couture,BEA-NAI-NAI-005,8.00,21.63,16.48,29.84,1 month warranty,Ships overnight,In Stock,No return policy,22,https://cdn.dummyjson.com/product-images/beauty/red-nail-polish/thumbnail.webp,4063010628104,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:50.195385,2025-04-30 14:42:50.195385,beauty;nail polish
6,Calvin Klein CK One,"CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear.",49.99,fragrances,1.89,4.37,29,Calvin Klein,FRA-CAL-CAL-006,7.00,29.36,27.76,20.72,1 week warranty,Ships overnight,In Stock,90 days return policy,9,https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/thumbnail.webp,2451534060749,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:50.498801,2025-04-30 14:42:50.498801,fragrances;perfumes
7,Chanel Coco Noir Eau De,"Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions.",129.99,fragrances,16.51,4.26,58,Chanel,FRA-CHA-CHA-007,7.00,24.50,25.70,25.98,3 year warranty,Ships overnight,In Stock,No return policy,1,https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/thumbnail.webp,4091737746820,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:50.965441,2025-04-30 14:42:50.965441,fragrances;perfumes
8,Dior J'adore,"J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication.",89.99,fragrances,14.72,3.80,98,Dior,FRA-DIO-DIO-008,4.00,27.67,28.28,11.83,1 week warranty,Ships in 2 weeks,In Stock,7 days return policy,10,https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/thumbnail.webp,1445086097250,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:51.284076,2025-04-30 14:42:51.284076,fragrances;perfumes
9,Dolce Shine Eau de,"Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent.",69.99,fragrances,0.62,3.96,4,Dolce & Gabbana,FRA-DOL-DOL-009,6.00,27.28,29.88,18.30,3 year warranty,Ships in 1 month,Low Stock,7 days return policy,2,https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/thumbnail.webp,3023868210708,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:51.580353,2025-04-30 14:42:51.580353,fragrances;perfumes
10,Gucci Bloom Eau de,"Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent.",79.99,fragrances,14.39,2.74,91,Gucci,FRA-GUC-GUC-010,7.00,20.92,21.68,11.20,6 months warranty,Ships overnight,In Stock,No return policy,2,https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/thumbnail.webp,3170832177880,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:51.878814,2025-04-30 14:42:51.878814,fragrances;perfumes
